lat,lon,pop,dist
40.5875,-73.9792,4199,12.939148627675193
40.5875,-73.9708,7908,12.77636784595999
40.5875,-73.9625,9818,12.65250391173339
40.5875,-73.9542,10061,12.566507883652863
40.5875,-73.9458,6779,12.518830202593936
40.5875,-73.9375,7551,12.511037794095104
40.5875,-73.9292,2191,12.542408421455224
40.5875,-73.9208,1487,12.613721873759506
40.5875,-73.9125,1,12.722641773659388
40.5875,-73.9042,40,12.868808536495548
40.5875,-73.8958,176,13.05335913550961
40.5875,-73.8792,19,13.520103104642562
40.5875,-73.8292,544,15.616429577744093
40.5875,-73.8208,3674,16.05072745696172
40.5875,-73.8125,4503,16.49858443898446
40.5875,-73.8042,3964,16.963540589947844
40.5875,-73.7958,616,17.4500620792149
40.5875,-73.7875,2401,17.945383162280912
40.5875,-73.7792,1,18.453993359358613
40.5875,-73.7708,8,18.98111706071319
40.5875,-73.7625,1,19.51331820517244
40.5875,-73.7458,40,20.61456432429457
40.5875,-73.7375,750,21.17497861907436
40.5875,-73.7292,351,21.74399350781653
40.5875,-73.7208,292,22.32740969461259
40.5875,-73.7125,422,22.910880468096863
40.5875,-73.7042,1362,23.500737137053193
40.5875,-73.6958,2279,24.103663356767218
40.5875,-73.6875,2306,24.704988847061216
40.5875,-73.6792,2329,25.311407347249038
40.5875,-73.6708,3908,25.929891092173904
40.5875,-73.6625,3048,26.54550438329182
40.5875,-73.6542,3390,27.165222883103745
40.5875,-73.6458,3188,27.79624454474297
40.5875,-73.6375,1710,28.42341329401735
40.5875,-73.6292,1282,29.05334500288749
40.5875,-73.6208,302,29.69515878604056
40.5875,-73.6125,127,30.331184498981177
40.5875,-73.6042,155,30.970545703837388
40.5875,-73.5958,47,31.620176934292587
40.5958,-74.2958,1322,32.17613496902231
40.5958,-74.2875,1095,31.523818192595026
40.5958,-74.2792,1655,30.87360395512668
40.5958,-74.2708,626,30.217899707744742
40.5958,-74.2625,1445,29.572338476949703
40.5958,-74.2542,1065,28.92991401001556
40.5958,-74.2458,1472,28.281397271199655
40.5958,-74.2375,1597,27.64463372890828
40.5958,-74.2292,112,27.010400998496575
40.5958,-74.2208,46,26.37199412527582
40.5958,-74.2125,405,25.744737301460606
40.5958,-74.2042,19,25.12134116771963
40.5958,-74.1958,35,24.494727794759676
40.5958,-74.1875,1224,23.88002117500731
40.5958,-74.1792,305,23.270152395139295
40.5958,-74.1708,478,22.658320730371145
40.5958,-74.1625,3382,22.059408861121724
40.5958,-74.1542,2201,21.466634589907006
40.5958,-74.1458,1047,20.87355999513074
40.5958,-74.1375,1465,20.294773450817836
40.5958,-74.1292,2233,19.724390016686964
40.5958,-74.1208,770,19.1548876700945
40.5958,-74.1125,294,18.602555803779197
40.5958,-74.1042,922,18.05994652613993
40.5958,-74.0958,2080,17.52224498088379
40.5958,-74.0875,2732,17.00320848695191
40.5958,-74.0792,3472,16.497575295282452
40.5958,-74.0708,4206,16.000843635167993
40.5958,-74.0625,2964,15.526149984949884
40.5958,-74.0542,110,15.069058769353056
40.5958,-74.0042,3506,12.790279909007616
40.5958,-73.9958,9391,12.506403086357107
40.5958,-73.9875,9086,12.26020144251906
40.5958,-73.9792,9456,12.049471511407223
40.5958,-73.9708,7713,11.874522793372053
40.5958,-73.9625,7492,11.74116529780344
40.5958,-73.9542,9388,11.648454703755213
40.5958,-73.9458,9039,11.597009732316014
40.5958,-73.9375,10076,11.588598534822433
40.5958,-73.9292,2953,11.622455021951117
40.5958,-73.9208,61,11.69936786687402
40.5958,-73.9125,1,11.816704279991724
40.5958,-73.9042,2,11.973915610092538
40.5958,-73.8208,148,15.342191769412556
40.5958,-73.8125,22,15.810075107222996
40.5958,-73.8042,865,16.294629911995546
40.5958,-73.7958,5134,16.800471490972686
40.5958,-73.7875,4189,17.314322849665903
40.5958,-73.7792,2776,17.84086800446452
40.5958,-73.7708,2390,18.385512095113686
40.5958,-73.7625,5276,18.934394465909275
40.5958,-73.7542,9555,19.492465589546942
40.5958,-73.7458,4998,20.067298816965007
40.5958,-73.7375,1366,20.642505449003632
40.5958,-73.7292,15,21.22572809297841
40.5958,-73.7208,32,21.82293084312102
40.5958,-73.6792,135,24.867182760056522
40.5958,-73.6708,402,25.496367458718478
40.5958,-73.6625,1041,26.122122682434085
40.5958,-73.6542,2175,26.751573633869317
40.5958,-73.6458,918,27.392047425553574
40.5958,-73.6375,1710,28.02818397134842
40.5958,-73.6292,225,28.66672345714517
40.5958,-73.6208,18,29.31692261405473
40.5958,-73.6125,19,29.96089966904423
40.5958,-73.6042,89,30.607917122501746
40.5958,-73.5958,7,31.26500328031437
40.5958,-73.5875,36,31.916499554897783
40.6042,-74.2958,1112,31.84993088868585
40.6042,-74.2875,2012,31.190876456727196
40.6042,-74.2792,2262,30.533656563906547
40.6042,-74.2708,2093,29.870575177295294
40.6042,-74.2625,1170,29.217423822831506
40.6042,-74.2542,465,28.567101742954513
40.6042,-74.2458,40,27.91023959170883
40.6042,-74.2375,66,27.26489123581093
40.6042,-74.2292,21,26.621694924927596
40.6042,-74.2208,69,25.97381831252663
40.6042,-74.2125,56,25.336786944309477
40.6042,-74.2042,31,24.7031788041843
40.6042,-74.1958,110,24.065761152024898
40.6042,-74.1875,241,23.439887378208073
40.6042,-74.1792,311,22.818337297703213
40.6042,-74.1708,1281,22.194133370567105
40.6042,-74.1625,2141,21.582422117969386
40.6042,-74.1542,2374,20.976250139432075
40.6042,-74.1458,3024,20.36897968649731
40.6042,-74.1375,3430,19.775506364993774
40.6042,-74.1292,3867,19.189769517994492
40.6042,-74.1208,3489,18.60398339841253
40.6042,-74.1125,492,18.034860166508924
40.6042,-74.1042,460,17.47470367775028
40.6042,-74.0958,1684,16.918483232348095
40.6042,-74.0875,3154,16.380395530693736
40.6042,-74.0792,1682,15.854979638927034
40.6042,-74.0708,2660,15.3375166017521
40.6042,-74.0625,1235,14.841685669700272
40.6042,-74.0542,59,14.362889359126855
40.6042,-74.0292,399,13.042312157086338
40.6042,-74.0208,287,12.646715224916358
40.6042,-74.0125,5168,12.283464402000982
40.6042,-74.0042,10319,11.950535594760439
40.6042,-73.9958,12534,11.646246688911742
40.6042,-73.9875,10553,11.381487155234781
40.6042,-73.9792,11176,11.15419733844325
40.6042,-73.9708,8935,10.964997601368248
40.6042,-73.9625,11771,10.820454674316723
40.6042,-73.9542,11778,10.71979693993187
40.6042,-73.9458,7114,10.66387990177021
40.6042,-73.9375,4732,10.654733236568068
40.6042,-73.9292,1643,10.691542744996289
40.6042,-73.9208,475,10.775092040920129
40.6042,-73.9125,1839,10.902364564264154
40.6042,-73.9042,524,11.072544324993245
40.6042,-73.8958,4,11.286451788911682
40.6042,-73.8208,1406,14.649159104058766
40.6042,-73.8125,52,15.138416574993853
40.6042,-73.7792,54,17.248221942201504
40.6042,-73.7708,1159,17.81092819591203
40.6042,-73.7625,4882,18.3769101430624
40.6042,-73.7542,6945,18.951333752785875
