Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Year,Value (million US)
G23,Andean Community,CN,China,MI,Fuels and mining products,M,2015,250
G23,Andean Community,MEA,Middle East,MIOR,Ores and other minerals,X,2015,21
G23,Andean Community,CN,China,MACHOC,Other chemicals,X,2015,44
G23,Andean Community,CN,China,MIFU,Fuels,M,2015,30
G23,Andean Community,MEA,Middle East,AGFO,Food,M,2015,2
G23,Andean Community,NI4,Four East Asian traders,MIFU,Fuels,X,2015,634
G23,Andean Community,NI4,Four East Asian traders,MIFU,Fuels,M,2015,233
G23,Andean Community,NI4,Four East Asian traders,MIOR,Ores and other minerals,X,2015,1340
G23,Andean Community,EUR,Europe,AGFO,Food,M,2015,752
G23,Andean Community,CN,China,MINF,-Non--ferrous metals-,M,2015,192
G23,Andean Community,CN,China,MIOR,Ores and other minerals,X,2015,5694
G23,Andean Community,MEA,Middle East,MIFU,Fuels,M,2015,168
G23,Andean Community,GXT,-Extra--trade-,AGRA,Raw materials,X,2015,2857
G23,Andean Community,CN,China,AGFO,Food,X,2015,1500
G23,Andean Community,MEA,Middle East,MI,Fuels and mining products,M,2015,180
G23,Andean Community,NI4,Four East Asian traders,MINF,-Non--ferrous metals-,X,2015,133
G23,Andean Community,GXT,-Extra--trade-,AG,Agricultural products,M,2015,11218
G23,Andean Community,GXT,-Extra--trade-,AGFOOF,Other food products,X,2015,15938
G23,Andean Community,GXT,-Extra--trade-,MACHOC,Other chemicals,M,2015,15012
G23,Andean Community,MEA,Middle East,MINF,-Non--ferrous metals-,M,2015,11
G23,Andean Community,GXT,-Extra--trade-,MINF,-Non--ferrous metals-,X,2015,3246
G23,Andean Community,MEA,Middle East,AGFOOF,Other food products,M,2015,2
G23,Andean Community,GXT,-Extra--trade-,MINF,-Non--ferrous metals-,M,2015,794
G23,Andean Community,GXT,-Extra--trade-,MIOR,Ores and other minerals,X,2015,12172
G23,Andean Community,MEA,Middle East,MI,Fuels and mining products,X,2015,293
G23,Andean Community,MEA,Middle East,MACH,Chemicals,X,2015,11
G23,Andean Community,GXT,-Extra--trade-,AGFO,Food,X,2015,20249
G23,Andean Community,GXT,-Extra--trade-,AGRA,Raw materials,M,2015,1106
G23,Andean Community,CN,China,MIOR,Ores and other minerals,M,2015,28
G23,Andean Community,MEA,Middle East,MIOR,Ores and other minerals,M,2015,1
G23,Andean Community,MEA,Middle East,MACHOC,Other chemicals,M,2015,309
G23,Andean Community,NI4,Four East Asian traders,MAIS,Iron and steel,M,2015,301
G23,Andean Community,CN,China,AGRA,Raw materials,X,2015,209
G23,Andean Community,CN,China,AGRA,Raw materials,M,2015,69
