DBA,CUISINE DESCRIPTION,VIOLATION CODE,VIOLATION DESCRIPTION,SCORE,BORO,BUILDING,STREET,ZIPCODE,Address,
BED-STUY FISH FRY,American,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",74,BROOKLYN,940,FULTON ST,11238,"940 FULTON ST, BROOKLYN, New York City, 11238",
HARLEM BAR-B-Q/NABE HARLEM,Barbecue,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,MANHATTAN,2367,8 AVENUE,10027,"2367 8 AVENUE, MANHATTAN, New York City, 10027",
ARIA KABAB,Afghan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,73,QUEENS,2558,STEINWAY ST,11103,"2558 STEINWAY ST, QUEENS, New York City, 11103",
HEAVY WOODS,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",59,BROOKLYN,50,WYCKOFF AVENUE,11237,"50 WYCKOFF AVENUE, BROOKLYN, New York City, 11237",
NEST RESTAURANT & BAR,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",46,QUEENS,12517,101ST AVE,11419,"12517 101ST AVE, QUEENS, New York City, 11419",
MANAA SOULFOOD RESTAURANT,Soul Food,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,52,BROOKLYN,478,ROCKAWAY AVE,11212,"478 ROCKAWAY AVE, BROOKLYN, New York City, 11212",
AUNTIE ANNE'S,Bagels/Pretzels,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,MANHATTAN,4,SOUTH ST,10004,"4 SOUTH ST, MANHATTAN, New York City, 10004",
PRONTO PIZZA,Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,61,STATEN ISLAND,738,FOREST AVENUE,10310,"738 FOREST AVENUE, STATEN ISLAND, New York City, 10310",
TONY'S PIZZA PASTA & GYRO,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,16,MANHATTAN,4771,BROADWAY,10034,"4771 BROADWAY, MANHATTAN, New York City, 10034",
218 RESTAURANT,Chinese,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,52,MANHATTAN,218220,GRAND STREET,10013,"218220 GRAND STREET, MANHATTAN, New York City, 10013",
MOCA ASIAN BISTRO,Asian,04M,Live roaches present in facility's food and/or non-food areas.,40,QUEENS,10718,70 ROAD,11375,"10718 70 ROAD, QUEENS, New York City, 11375",
D & S BAKERY,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",43,BROOKLYN,6302,NEW UTRECHT AVENUE,11219,"6302 NEW UTRECHT AVENUE, BROOKLYN, New York City, 11219",
GHOROA SWEETS & RESTAURANT,Bangladeshi,04M,Live roaches present in facility's food and/or non-food areas.,78,BROOKLYN,478,MCDONALD AVENUE,11218,"478 MCDONALD AVENUE, BROOKLYN, New York City, 11218",
TALK OF THE TOWN RESTAURANT,Indian,04M,Live roaches present in facility's food and/or non-food areas.,9,QUEENS,3721,72 STREET,11372,"3721 72 STREET, QUEENS, New York City, 11372",
BASERA INDIAN BISTRO,Indian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,106,MANHATTAN,745,9 AVENUE,10019,"745 9 AVENUE, MANHATTAN, New York City, 10019",
ANTOJITOS DELI FOOD,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,46,BROOKLYN,1936,86 STREET,11214,"1936 86 STREET, BROOKLYN, New York City, 11214",
SUNSET RIDGE DELI,Delicatessen,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,12,BROOKLYN,5802,5 AVENUE,11220,"5802 5 AVENUE, BROOKLYN, New York City, 11220",
HONG KONG BOY RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,43,BROOKLYN,6201,8TH AVE,11220,"6201 8TH AVE, BROOKLYN, New York City, 11220",
PULAU PINANG MALAYSIAN CUISINE,Asian,04M,Live roaches present in facility's food and/or non-food areas.,87,QUEENS,8284,BROADWAY,11373,"8284 BROADWAY, QUEENS, New York City, 11373",
NEW LUCKY GARDEN,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,38,BRONX,1587,WATSON AVE,10472,"1587 WATSON AVE, BRONX, New York City, 10472",
BOON BY MOLDOVA RESTAURANT,Eastern European,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",46,QUEENS,4345,40TH ST,11104,"4345 40TH ST, QUEENS, New York City, 11104",
PHO VIET,Vietnamese/Cambodian/Malaysia,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,45,BROOKLYN,4317,8 AVENUE,11232,"4317 8 AVENUE, BROOKLYN, New York City, 11232",
NEW PEKING,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,48,BROOKLYN,1137,WASHINGTON AVE,11225,"1137 WASHINGTON AVE, BROOKLYN, New York City, 11225",
PITA GRILL,Mediterranean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,63,MANHATTAN,441,3RD AVE,10016,"441 3RD AVE, MANHATTAN, New York City, 10016",
NY GYRO XPRESS,Mediterranean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,38,MANHATTAN,154,8TH AVE,10011,"154 8TH AVE, MANHATTAN, New York City, 10011",
AN BEAL BOCHT CAFE,American,04M,Live roaches present in facility's food and/or non-food areas.,36,BRONX,445,WEST  238 STREET,10463,"445 WEST  238 STREET, BRONX, New York City, 10463",
FISHERMAN'S COVE,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",52,BROOKLYN,2137,NOSTRAND AVE,11210,"2137 NOSTRAND AVE, BROOKLYN, New York City, 11210",
MIKES DELI,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,57,BROOKLYN,9510,4TH AVE,11209,"9510 4TH AVE, BROOKLYN, New York City, 11209",
HADJA MARLEY RESTAURANT,African,04M,Live roaches present in facility's food and/or non-food areas.,20,BROOKLYN,1139,FULTON STREET,11238,"1139 FULTON STREET, BROOKLYN, New York City, 11238",
SIGNATURE RESTAURANT,Russian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",54,BROOKLYN,2007,EMMONS AVE,11235,"2007 EMMONS AVE, BROOKLYN, New York City, 11235",
NATIONAL,Thai,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",48,BROOKLYN,723,FULTON STREET,11217,"723 FULTON STREET, BROOKLYN, New York City, 11217",
NEW SOLDIERS RESTAURANT,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,8,BROOKLYN,1278,NOSTRAND AVENUE,11226,"1278 NOSTRAND AVENUE, BROOKLYN, New York City, 11226",
CORNER FOOD,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,82,QUEENS,13524,40TH RD,11354,"13524 40TH RD, QUEENS, New York City, 11354",
I LOVE NY PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,0,BRONX,2086,ARTHUR AVE,10457,"2086 ARTHUR AVE, BRONX, New York City, 10457",
MURPHY'S PUB & RESTAURANT,Irish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,12,MANHATTAN,977,2 AVENUE,10022,"977 2 AVENUE, MANHATTAN, New York City, 10022",
GRAND NO. 1 RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,17,BRONX,1735,DR MARTIN L KING JR BOULEVARD,10453,"1735 DR MARTIN L KING JR BOULEVARD, BRONX, New York City, 10453",
LA ROSA BAKERY,Bakery,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,50,BRONX,155B,EAST  170 STREET,10452,"155B EAST  170 STREET, BRONX, New York City, 10452",
LECHONERA 2DA RESTAURANTE,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,BROOKLYN,429,NEW LOTS AVE,11207,"429 NEW LOTS AVE, BROOKLYN, New York City, 11207",
NIO'S WEST INDIAN RESTAURANT & BAKERY,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,45,BROOKLYN,2702,CHURCH AVENUE,11226,"2702 CHURCH AVENUE, BROOKLYN, New York City, 11226",
AUNTIE ANNE'S,Bagels/Pretzels,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",33,MANHATTAN,4,SOUTH ST,10004,"4 SOUTH ST, MANHATTAN, New York City, 10004",
SAM'S,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,48,QUEENS,8906,NORTHERN BOULEVARD,11372,"8906 NORTHERN BOULEVARD, QUEENS, New York City, 11372",
BASSANOVA RAMEN,Japanese,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,43,MANHATTAN,76,MOTT ST,10013,"76 MOTT ST, MANHATTAN, New York City, 10013",
FOOD FOR THOUGHT CATERED EVENTS,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,42,MANHATTAN,130,WEST   25 STREET,10001,"130 WEST   25 STREET, MANHATTAN, New York City, 10001",
HENRI'S BACKYARD,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,32,BROOKLYN,256,4TH AVE,11215,"256 4TH AVE, BROOKLYN, New York City, 11215",
MICHELANGELO'S PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,76,STATEN ISLAND,860,POST AVE,10310,"860 POST AVE, STATEN ISLAND, New York City, 10310",
NEW RANCHITO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",56,MANHATTAN,924,AMSTERDAM AVENUE,10025,"924 AMSTERDAM AVENUE, MANHATTAN, New York City, 10025",
PINE COURT CHINESE BISTRO,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,47,QUEENS,24932,HORACE HARDING EXPRESSWAY,11362,"24932 HORACE HARDING EXPRESSWAY, QUEENS, New York City, 11362",
ARCO CAFE,Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,MANHATTAN,886,AMSTERDAM AVE,10025,"886 AMSTERDAM AVE, MANHATTAN, New York City, 10025",
SILVER MOON DINER,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,38,QUEENS,23520,HILLSIDE AVENUE,11427,"23520 HILLSIDE AVENUE, QUEENS, New York City, 11427",
MIKE'S CAFETERIA,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,BROOKLYN,2556,MCDONALD AVENUE,11223,"2556 MCDONALD AVENUE, BROOKLYN, New York City, 11223",
MUGHLAI INDIAN CUISINE,Indian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,65,MANHATTAN,1724,2ND AVE,10128,"1724 2ND AVE, MANHATTAN, New York City, 10128",
LATINO'S BAR & GRILL RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",42,MANHATTAN,3864,BROADWAY,10032,"3864 BROADWAY, MANHATTAN, New York City, 10032",
GHOROA SWEETS & RESTAURANT,Bangladeshi,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,78,BROOKLYN,478,MCDONALD AVENUE,11218,"478 MCDONALD AVENUE, BROOKLYN, New York City, 11218",
HAVELI FINE INDIAN CUISINE,Indian,04M,Live roaches present in facility's food and/or non-food areas.,43,QUEENS,11633,QUEENS BLVD,11375,"11633 QUEENS BLVD, QUEENS, New York City, 11375",
WO HOP CITY,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,69,MANHATTAN,15,MOTT STREET,10013,"15 MOTT STREET, MANHATTAN, New York City, 10013",
MONA KITCHEN & MARKET,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",60,MANHATTAN,310,E 44TH ST,10017,"310 E 44TH ST, MANHATTAN, New York City, 10017",
GREEN HOUSE RESTAURANT & PARTY HALL,Bangladeshi,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,42,BROOKLYN,90,CHURCH AVENUE,11218,"90 CHURCH AVENUE, BROOKLYN, New York City, 11218",
PUNTO CIBAENO RESTAURANT,Spanish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",32,QUEENS,16405,89TH AVE,11432,"16405 89TH AVE, QUEENS, New York City, 11432",
LEMON LEAVES,Chinese/Japanese,04M,Live roaches present in facility's food and/or non-food areas.,10,MANHATTAN,55,LIBERTY STREET,10005,"55 LIBERTY STREET, MANHATTAN, New York City, 10005",
PIAXTLA ES MEXICO DELI,Mexican,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",25,BROOKLYN,505,51 STREET,11220,"505 51 STREET, BROOKLYN, New York City, 11220",
MCDONALD'S,Hamburgers,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",41,MANHATTAN,237987,ADAM CLAYTON POWELL BOULEVARD,10030,"237987 ADAM CLAYTON POWELL BOULEVARD, MANHATTAN, New York City, 10030",
BABA COOL,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,20,BROOKLYN,64,LAFAYETTE AVE,11217,"64 LAFAYETTE AVE, BROOKLYN, New York City, 11217",
KILLMEYER'S OLD BAVARIA INN.,German,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",38,STATEN ISLAND,4256,ARTHUR KILL ROAD,10309,"4256 ARTHUR KILL ROAD, STATEN ISLAND, New York City, 10309",
#1 SABOR LATINO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",45,BRONX,4120,WHITE PLAINS ROAD,10466,"4120 WHITE PLAINS ROAD, BRONX, New York City, 10466",
METATE MEXICAN RESTAURANT,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,49,BRONX,3515,JOHNSON AVENUE,10463,"3515 JOHNSON AVENUE, BRONX, New York City, 10463",
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",27,BRONX,1438,METROPOLITAN AVENUE,10462,"1438 METROPOLITAN AVENUE, BRONX, New York City, 10462",
ROSE BENGAL,Bangladeshi,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,67,QUEENS,7701,101 AVENUE,11416,"7701 101 AVENUE, QUEENS, New York City, 11416",
KABAYAN FILIPINO RESTAURANT,Filipino,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",109,QUEENS,4912,QUEENS BLVD,11377,"4912 QUEENS BLVD, QUEENS, New York City, 11377",
OUR PLACE CHINA CHALET,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,41,MANHATTAN,242,EAST   79 STREET,10075,"242 EAST   79 STREET, MANHATTAN, New York City, 10075",
PORTO PRINCE STAR RESTAURANT,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,QUEENS,22113,LINDEN BOULEVARD,11411,"22113 LINDEN BOULEVARD, QUEENS, New York City, 11411",
MALLY'S,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,BROOKLYN,199,KNICKERBOCKER AVE,11237,"199 KNICKERBOCKER AVE, BROOKLYN, New York City, 11237",
LAS LUNITAS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",41,BROOKLYN,195,STANHOPE ST,11237,"195 STANHOPE ST, BROOKLYN, New York City, 11237",
CHINA THAI,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,48,BROOKLYN,867,FLATBUSH AVE,11226,"867 FLATBUSH AVE, BROOKLYN, New York City, 11226",
TOSCA MARQUEE,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",43,BRONX,4034,EAST TREMONT AVENUE,10465,"4034 EAST TREMONT AVENUE, BRONX, New York City, 10465",
PAPA JOHN'S,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,37,BROOKLYN,1009,BROADWAY,11221,"1009 BROADWAY, BROOKLYN, New York City, 11221",
LA CUEVITA DE MACHO,Spanish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",53,BRONX,260,BROOK AVE,10454,"260 BROOK AVE, BRONX, New York City, 10454",
BOMBAY CURRY,Indian,04M,Live roaches present in facility's food and/or non-food areas.,92,BROOKLYN,525,NOSTRAND AVENUE,11216,"525 NOSTRAND AVENUE, BROOKLYN, New York City, 11216",
BLAKE BAKERY & TAKE OUT FOOD,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,83,BROOKLYN,1681,NOSTRAND AVENUE,11226,"1681 NOSTRAND AVENUE, BROOKLYN, New York City, 11226",
FU XIANG JU,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,39,QUEENS,13680,41ST AVE,11355,"13680 41ST AVE, QUEENS, New York City, 11355",
NEW WING WAH BAKERY,Bakery,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,MANHATTAN,246,GRAND STREET,10002,"246 GRAND STREET, MANHATTAN, New York City, 10002",
ZORBA'S,Greek,04M,Live roaches present in facility's food and/or non-food areas.,45,QUEENS,2905,23 AVENUE,11105,"2905 23 AVENUE, QUEENS, New York City, 11105",
FRAMBOISE BAKESHOP,Bakery,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,43,QUEENS,6459,DRY HARBOR ROAD,11379,"6459 DRY HARBOR ROAD, QUEENS, New York City, 11379",
PENN MARKET,Delicatessen,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",83,MANHATTAN,401,8TH AVE,10001,"401 8TH AVE, MANHATTAN, New York City, 10001",
LITTLE LIONS,Caf̩/Coffee/Tea,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,34,MANHATTAN,40,GRAND ST,10013,"40 GRAND ST, MANHATTAN, New York City, 10013",
ASIAN YUMMY HOUSE,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",33,BROOKLYN,824,BROADWAY,11206,"824 BROADWAY, BROOKLYN, New York City, 11206",
LEMON LEAVES,Chinese/Japanese,04M,Live roaches present in facility's food and/or non-food areas.,51,MANHATTAN,55,LIBERTY STREET,10005,"55 LIBERTY STREET, MANHATTAN, New York City, 10005",
TBAAR,"Juice, Smoothies, Fruit Salads",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",25,BROOKLYN,6317,8TH AVE,11220,"6317 8TH AVE, BROOKLYN, New York City, 11220",
MONTEZUMA RESTAURANT,Mexican,04M,Live roaches present in facility's food and/or non-food areas.,14,BRONX,119,WEST KINGSBRIDGE ROAD,10468,"119 WEST KINGSBRIDGE ROAD, BRONX, New York City, 10468",
GRANDMA'S HOUSE,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,59,BROOKLYN,364,ATLANTIC AVE,11217,"364 ATLANTIC AVE, BROOKLYN, New York City, 11217",
CARIBBEAN GRILL,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,62,BRONX,1294,WESTCHESTER AVE,10459,"1294 WESTCHESTER AVE, BRONX, New York City, 10459",
ORIGINAL SANDWICHES,Sandwiches,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,49,MANHATTAN,58A,GREENWICH AVENUE,10011,"58A GREENWICH AVENUE, MANHATTAN, New York City, 10011",
A SLICE OF NEW YORK,Pizza,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",91,MANHATTAN,727,8 AVENUE,10036,"727 8 AVENUE, MANHATTAN, New York City, 10036",
BRISAS DEL MAR SEAFOOD MARKET,Seafood,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",61,MANHATTAN,1785-1787,LEXINGTON AVENUE,10029,"1785-1787 LEXINGTON AVENUE, MANHATTAN, New York City, 10029",
33 Gourmet,Delicatessen,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",62,MANHATTAN,157,WEST   33 STREET,10001,"157 WEST   33 STREET, MANHATTAN, New York City, 10001",
CIPURA,Turkish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",60,BROOKLYN,1901,EMMONS AVE,11235,"1901 EMMONS AVE, BROOKLYN, New York City, 11235",
NIGHT MARKET BBQ,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",71,QUEENS,4506,PARSONS BLVD,11355,"4506 PARSONS BLVD, QUEENS, New York City, 11355",
POLKA DOT,Polish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,61,BROOKLYN,726,MANHATTAN AVE,11222,"726 MANHATTAN AVE, BROOKLYN, New York City, 11222",
LUI'S THAI FOOD,Thai,04M,Live roaches present in facility's food and/or non-food areas.,67,MANHATTAN,128,E 4TH ST,10003,"128 E 4TH ST, MANHATTAN, New York City, 10003",
"DUNKIN' DONUTS, BASKIN ROBBINS",Donuts,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",30,QUEENS,6103,FLUSHING AVENUE,11378,"6103 FLUSHING AVENUE, QUEENS, New York City, 11378",
PIPO'S RESTAURANT,Mexican,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",31,MANHATTAN,166,E 118TH ST,10035,"166 E 118TH ST, MANHATTAN, New York City, 10035",
KAM'S KITCHEN,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,14,QUEENS,21709,LINDEN BLVD,11411,"21709 LINDEN BLVD, QUEENS, New York City, 11411",
EUREST DINING SERVICE (American Express),American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,81,MANHATTAN,200,VESEY STREET,10285,"200 VESEY STREET, MANHATTAN, New York City, 10285",
L'AILE OU LA CUISSE (L'A.O.C),French,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",43,MANHATTAN,314,BLEECKER ST,10014,"314 BLEECKER ST, MANHATTAN, New York City, 10014",
TBAAR,"Juice, Smoothies, Fruit Salads",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,64,BROOKLYN,6317,8TH AVE,11220,"6317 8TH AVE, BROOKLYN, New York City, 11220",
THE MANHATTAN AT TIMES SQUARE,Caf̩/Coffee/Tea,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,MANHATTAN,790,7TH AVE,10019,"790 7TH AVE, MANHATTAN, New York City, 10019",
PICK & PAY GYRO & PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,39,MANHATTAN,30,LEXINGTON AVE,10010,"30 LEXINGTON AVE, MANHATTAN, New York City, 10010",
CHILLI,Indian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,50,QUEENS,3756,74TH ST,11372,"3756 74TH ST, QUEENS, New York City, 11372",
